Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_0,0.586,0,0,0.586,Non-Toxin
Pep_1,0.518,0,0,0.518,Non-Toxin
Pep_2,0.509,0,0,0.509,Non-Toxin
Pep_3,0.519,0,0,0.519,Non-Toxin
Pep_4,0.523,0,0,0.523,Non-Toxin
Pep_5,0.605,0,0,0.605,Toxin
Pep_6,0.609,0,0,0.609,Toxin
Pep_7,0.505,0,0,0.505,Non-Toxin
Pep_8,0.557,0,0,0.557,Non-Toxin
Pep_9,0.607,0,0,0.607,Toxin
Pep_10,0.596,0,0,0.596,Non-Toxin
Pep_11,0.574,0,0,0.574,Non-Toxin
Pep_12,0.526,0,0,0.526,Non-Toxin
Pep_13,0.578,0,0,0.578,Non-Toxin
Pep_14,0.519,0,0,0.519,Non-Toxin
Pep_15,0.47,0,0,0.47,Non-Toxin
Pep_16,0.66,0,0,0.66,Toxin
Pep_17,0.701,0,0,0.701,Toxin
Pep_18,0.628,0,0,0.628,Toxin
Pep_19,0.755,0,0,0.755,Toxin
Pep_20,0.592,0,0,0.592,Non-Toxin
Pep_21,0.564,0,0,0.564,Non-Toxin
Pep_22,0.501,0,0,0.501,Non-Toxin
Pep_23,0.659,0,0,0.659,Toxin
Pep_24,0.621,0,0,0.621,Toxin
Pep_25,0.649,0,0,0.649,Toxin
Pep_26,0.666,0,0,0.666,Toxin
Pep_27,0.62,0,0,0.62,Toxin
Pep_28,0.598,0,0,0.598,Non-Toxin
Pep_29,0.558,0,0,0.558,Non-Toxin
Pep_30,0.707,0,0,0.707,Toxin
Pep_31,0.499,0,0,0.499,Non-Toxin
Pep_32,0.519,0,0,0.519,Non-Toxin
Pep_33,0.534,0,0,0.534,Non-Toxin
Pep_34,0.479,0,0,0.479,Non-Toxin
Pep_35,0.617,0,0,0.617,Toxin
Pep_36,0.63,0,0,0.63,Toxin
Pep_37,0.644,0,0,0.644,Toxin
Pep_38,0.575,0,0,0.575,Non-Toxin
Pep_39,0.551,0,0,0.551,Non-Toxin
Pep_40,0.533,0,0,0.533,Non-Toxin
Pep_41,0.464,0,0,0.464,Non-Toxin
Pep_42,0.495,0,0,0.495,Non-Toxin
Pep_43,0.647,0,0,0.647,Toxin
Pep_44,0.542,0,0,0.542,Non-Toxin
Pep_45,0.569,0,0,0.569,Non-Toxin
Pep_46,0.647,0,0,0.647,Toxin
Pep_47,0.765,0,0,0.765,Toxin
Pep_48,0.742,0,0,0.742,Toxin
Pep_49,0.542,0,0,0.542,Non-Toxin
Pep_50,0.901,0,0,0.901,Toxin
Pep_51,0.891,0,0,0.891,Toxin
Pep_52,0.56,0,0,0.56,Non-Toxin
Pep_53,0.547,0,0,0.547,Non-Toxin
Pep_54,0.534,0,0,0.534,Non-Toxin
Pep_55,0.388,0,0,0.388,Non-Toxin
Pep_56,0.655,0,0,0.655,Toxin
Pep_57,0.584,0,0,0.584,Non-Toxin
Pep_58,0.66,0,0,0.66,Toxin
Pep_59,0.671,0,0,0.671,Toxin
Pep_60,0.761,0,0,0.761,Toxin
Pep_61,0.678,0,0,0.678,Toxin
Pep_62,0.685,0,0,0.685,Toxin
Pep_63,0.751,0,0,0.751,Toxin
Pep_64,0.493,0,0,0.493,Non-Toxin
Pep_65,0.613,0,0,0.613,Toxin
Pep_66,0.515,0,0,0.515,Non-Toxin
Pep_67,0.525,0,0,0.525,Non-Toxin
Pep_68,0.484,0,0,0.484,Non-Toxin
Pep_69,0.442,0,0,0.442,Non-Toxin
Pep_70,0.677,0,0,0.677,Toxin
Pep_71,0.652,0,0,0.652,Toxin
Pep_72,0.595,0,0,0.595,Non-Toxin
Pep_73,0.599,0,0,0.599,Non-Toxin
Pep_74,0.562,0,0,0.562,Non-Toxin
