Variant_ID,KT_Verdict,ESM2_Prob,ESM2_Verdict,Final_Verdict,KT_Peptide_Count,Consensus,Retained
HIV_p17_Var_01_QID00154.1.fasta,True,0.0327,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_02_ACH99177.1.fasta,True,0.0274,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_03_QGV15380.1.fasta,True,0.0858,False,NON-ANTIGENIC,7,DISAGREE,True
HIV_p17_Var_05_UDP22692.1.fasta,True,0.1025,False,NON-ANTIGENIC,6,DISAGREE,True
HIV_p17_Var_06_ASM59364.1.fasta,True,0.0372,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_07_QIC95607.1.fasta,True,0.0326,False,NON-ANTIGENIC,6,DISAGREE,True
HIV_p17_Var_08_AFU26093.1.fasta,True,0.0353,False,NON-ANTIGENIC,6,DISAGREE,True
HIV_p17_Var_09_QIC96180.1.fasta,True,0.0496,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_10_AFU32291.1.fasta,True,0.0335,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_11_AXR99486.1.fasta,True,0.0313,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_12_AFN81319.1.fasta,True,0.1457,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_13_QIX06459.1.fasta,True,0.0296,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_14_AFU28327.1.fasta,True,0.1636,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_15_ABD04289.1.fasta,True,0.0361,False,NON-ANTIGENIC,7,DISAGREE,True
HIV_p17_Var_16_AEZ35907.1.fasta,True,0.0372,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_18_QIC99916.1.fasta,True,0.1515,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_19_AXP13305.1.fasta,True,0.0613,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_20_YFN08105.1.fasta,True,0.0318,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_21_AFU32525.1.fasta,True,0.1054,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_22_AKN89917.1.fasta,True,0.035,False,NON-ANTIGENIC,6,DISAGREE,True
HIV_p17_Var_23_QAB36255.1.fasta,True,0.029,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_24_AFU33753.1.fasta,True,0.0556,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_25_XFC51684.1.fasta,True,0.0372,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_26_QAB36020.1.fasta,True,0.0418,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_28_WMD30065.1.fasta,True,0.2214,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_29_AFU27899.1.fasta,True,0.0766,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_30_AFU26915.1.fasta,True,0.0332,False,NON-ANTIGENIC,5,DISAGREE,True
