Variant_ID,KT_Verdict,ESM2_Prob,ESM2_Verdict,Final_Verdict,KT_Peptide_Count,Consensus,Retained
HIV_gp120_Var_01_AXP14231.1.fasta,True,0.976,True,ANTIGENIC,17,AGREE,True
HIV_gp120_Var_02_AFV34432.1.fasta,True,0.9765,True,ANTIGENIC,17,AGREE,True
HIV_gp120_Var_03_QRC49169.1.fasta,True,0.9764,True,ANTIGENIC,18,AGREE,True
HIV_gp120_Var_04_QGV15582.1.fasta,True,0.9765,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_05_XKC16435.1.fasta,True,0.9761,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_06_WMD30114.1.fasta,True,0.9757,True,ANTIGENIC,17,AGREE,True
HIV_gp120_Var_07_XPO03727.1.fasta,True,0.9766,True,ANTIGENIC,18,AGREE,True
HIV_gp120_Var_08_AFU27265.1.fasta,True,0.976,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_09_UMQ71371.1.fasta,True,0.9762,True,ANTIGENIC,17,AGREE,True
HIV_gp120_Var_10_QIX05989.1.fasta,True,0.9755,True,ANTIGENIC,17,AGREE,True
HIV_gp120_Var_11_UBW87652.1.fasta,True,0.9764,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_12_QIX05460.1.fasta,True,0.977,True,ANTIGENIC,14,AGREE,True
HIV_gp120_Var_13_AFU31404.1.fasta,True,0.9765,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_14_UBW85602.1.fasta,True,0.9755,True,ANTIGENIC,18,AGREE,True
HIV_gp120_Var_15_QIX06234.1.fasta,True,0.9748,True,ANTIGENIC,21,AGREE,True
HIV_gp120_Var_16_AFU29819.1.fasta,True,0.9769,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_17_UMQ72542.1.fasta,True,0.9766,True,ANTIGENIC,18,AGREE,True
HIV_gp120_Var_18_AMQ63183.1.fasta,True,0.9762,True,ANTIGENIC,18,AGREE,True
HIV_gp120_Var_19_AHN16434.1.fasta,True,0.9766,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_20_UBW83035.1.fasta,True,0.9759,True,ANTIGENIC,14,AGREE,True
HIV_gp120_Var_21_UBW87851.1.fasta,True,0.9758,True,ANTIGENIC,15,AGREE,True
HIV_gp120_Var_22_AFR42744.1.fasta,True,0.9762,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_23_AMQ63332.1.fasta,True,0.9762,True,ANTIGENIC,19,AGREE,True
HIV_gp120_Var_24_QAB37601.1.fasta,True,0.9766,True,ANTIGENIC,17,AGREE,True
HIV_gp120_Var_25_UMQ71839.1.fasta,True,0.9763,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_26_ADU04884.1.fasta,True,0.9757,True,ANTIGENIC,17,AGREE,True
HIV_gp120_Var_27_UBW82422.1.fasta,True,0.9761,True,ANTIGENIC,19,AGREE,True
HIV_gp120_Var_28_ATW67223.1.fasta,True,0.9758,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_29_UBW85812.1.fasta,True,0.9764,True,ANTIGENIC,16,AGREE,True
HIV_gp120_Var_30_QAB37192.1.fasta,True,0.9764,True,ANTIGENIC,15,AGREE,True
HIV_gp41_Var_01_QAB37996.1.fasta,True,0.9763,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_02_QGV15582.1.fasta,True,0.976,True,ANTIGENIC,9,AGREE,True
HIV_gp41_Var_03_QRC49169.1.fasta,True,0.9759,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_04_AFV34432.1.fasta,True,0.9759,True,ANTIGENIC,9,AGREE,True
HIV_gp41_Var_05_XKC16435.1.fasta,True,0.9756,True,ANTIGENIC,7,AGREE,True
HIV_gp41_Var_06_QIX06234.1.fasta,True,0.9756,True,ANTIGENIC,6,AGREE,True
HIV_gp41_Var_07_QIC93331.1.fasta,True,0.9759,True,ANTIGENIC,9,AGREE,True
HIV_gp41_Var_08_UBW86827.1.fasta,True,0.9757,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_09_UBW83425.1.fasta,True,0.9761,True,ANTIGENIC,9,AGREE,True
HIV_gp41_Var_10_AFU27265.1.fasta,True,0.9758,True,ANTIGENIC,9,AGREE,True
HIV_gp41_Var_11_UBW82422.1.fasta,True,0.9764,True,ANTIGENIC,6,AGREE,True
HIV_gp41_Var_12_XPO03727.1.fasta,True,0.9755,True,ANTIGENIC,10,AGREE,True
