Target,Accession,Clade_Tag,Confirmed,Gene_Qualifier
Mpox_A35R,YGB80085.1,Unconfirmed,False,OPG161
Mpox_A35R,YFT67491.1,Unconfirmed,False,OPG161
Mpox_A35R,XPA18444.1,Unconfirmed,False,OPG161
Mpox_A35R,YDB03291.1,Unconfirmed,False,OPG161
Mpox_A35R,YCG62894.1,Unconfirmed,False,OPG161
Mpox_A35R,XEX31249.1,Unconfirmed,False,OPG161
Mpox_A35R,XEO29617.1,Unconfirmed,False,OPG161
Mpox_A35R,WDR55323.1,Unconfirmed,False,OPG161
Mpox_A35R,XNX19922.1,Clade IIB,True,OPG161
Mpox_A35R,YFI67686.1,Unconfirmed,False,OPG161
Mpox_A35R,UXY84798.1,Unconfirmed,False,OPG161
Mpox_A35R,XEX34609.1,Unconfirmed,False,OPG161
Mpox_A35R,XCI57720.1,Unconfirmed,False,OPG161
Mpox_A35R,UXL69934.1,Unconfirmed,False,OPG161
Mpox_A35R,WZB43812.1,Unconfirmed,False,OPG161
Mpox_A35R,XOL55170.1,Clade IIA,True,OPG161
Mpox_A35R,XEX61452.1,Unconfirmed,False,OPG161
Mpox_A35R,WPD90593.1,Unconfirmed,False,OPG161
Mpox_A35R,XYA25057.1,Unconfirmed,False,OPG161
Mpox_A35R,NP_536572.1,Unconfirmed,False,OPG161
Mpox_A35R,XEX24427.1,Unconfirmed,False,OPG161
Mpox_A35R,YBX69776.1,Unconfirmed,False,OPG161
Mpox_A35R,XEX38983.1,Unconfirmed,False,OPG161
Mpox_L1R,YGB80020.1,Unconfirmed,False,OPG095
Mpox_L1R,XYA10566.1,Unconfirmed,False,OPG095
Mpox_L1R,XEX45268.1,Unconfirmed,False,OPG095
Mpox_L1R,WMB89274.1,Unconfirmed,False,OPG095
Mpox_L1R,XYH50751.1,Clade IIA,True,OPG095
Mpox_L1R,XEX43928.1,Unconfirmed,False,OPG095
Mpox_L1R,WCS91417.1,Unconfirmed,False,OPG095
Mpox_L1R,XEX15305.1,Unconfirmed,False,OPG095
Mpox_L1R,WDR64122.1,Unconfirmed,False,OPG095
Mpox_L1R,WHP54173.1,Unconfirmed,False,OPG095
Mpox_L1R,XEX14969.1,Unconfirmed,False,OPG095
Mpox_L1R,XEX18485.1,Unconfirmed,False,OPG095
Mpox_L1R,XBU14245.1,Unconfirmed,False,OPG095
Mpox_L1R,XHC56541.1,Unconfirmed,False,OPG095
Mpox_L1R,UTZ19597.1,Unconfirmed,False,OPG095
Mpox_L1R,UUW22440.1,Unconfirmed,False,OPG095
Mpox_L1R,XSF39763.1,Unconfirmed,False,OPG095
Mpox_L1R,WDY77164.1,Unconfirmed,False,OPG095
Mpox_L1R,XEX41419.1,Unconfirmed,False,OPG095
Mpox_L1R,WVH08125.1,Unconfirmed,False,OPG095
Mpox_L1R,XEX05742.1,Unconfirmed,False,OPG095
Mpox_B5R,YFT67509.1,Unconfirmed,False,OPG190
Mpox_B5R,XBH37476.1,Unconfirmed,False,OPG190
Mpox_B5R,XIF87325.1,Unconfirmed,False,OPG190
Mpox_B5R,XBH42952.1,Unconfirmed,False,OPG190
Mpox_B5R,XBH37124.1,Unconfirmed,False,OPG190
Mpox_B5R,XYA27940.1,Unconfirmed,False,OPG190
Mpox_B5R,YDH68289.1,Unconfirmed,False,OPG190
Mpox_B5R,XBH42043.1,Unconfirmed,False,OPG190
Mpox_B5R,UVF73928.1,Unconfirmed,False,OPG190
Mpox_B5R,XYR87323.1,Clade IIB,True,OPG190
Mpox_B5R,XYA03408.1,Unconfirmed,False,OPG190
Mpox_B5R,YGB80106.1,Unconfirmed,False,OPG190
Mpox_B5R,XEX49068.1,Unconfirmed,False,OPG190
Mpox_B5R,XEX31267.1,Unconfirmed,False,OPG190
Mpox_B5R,UXP56267.1,Unconfirmed,False,OPG190
Mpox_B5R,XIF86968.1,Unconfirmed,False,OPG190
Mpox_B5R,BFV54706.1,Unconfirmed,False,OPG190
Mpox_B5R,WDP53175.1,Unconfirmed,False,OPG190
Mpox_B5R,XDC02371.1,Unconfirmed,False,OPG190
Mpox_B5R,XYA04115.1,Unconfirmed,False,OPG190
Mpox_B5R,XKU46019.1,Unconfirmed,False,OPG190
Mpox_B5R,XEX43843.1,Unconfirmed,False,OPG190
Mpox_B5R,WDP32808.1,Unconfirmed,False,OPG190
Mpox_B5R,XBH42219.1,Unconfirmed,False,OPG190
Mpox_B5R,WDR58878.1,Unconfirmed,False,OPG190
Mpox_B5R,UXL78092.1,Unconfirmed,False,OPG190
Mpox_B5R,UZV11444.1,Unconfirmed,False,OPG190
Mpox_B5R,YDS69278.1,Unconfirmed,False,OPG190
Mpox_B5R,XYW47977.1,Unconfirmed,False,OPG190
Mpox_B5R,YBX66761.1,Unconfirmed,False,OPG190
