Variant_ID,Target,MW_kDa,GRAVY,Instability_Index,Status
HIV_gp120_Var_01_AXP14231.1,HIV_gp120,52.72,-0.43,38.47,STABLE
HIV_gp120_Var_02_AFV34432.1,HIV_gp120,53.8,-0.42,40.52,UNSTABLE_FLAGGED
HIV_gp120_Var_03_QRC49169.1,HIV_gp120,53.3,-0.46,44.26,UNSTABLE_FLAGGED
HIV_gp120_Var_04_QGV15582.1,HIV_gp120,53.66,-0.42,41.36,UNSTABLE_FLAGGED
HIV_gp120_Var_05_XKC16435.1,HIV_gp120,53.26,-0.35,48.35,UNSTABLE_FLAGGED
HIV_gp120_Var_06_WMD30114.1,HIV_gp120,56.06,-0.47,42.27,UNSTABLE_FLAGGED
HIV_gp120_Var_07_XPO03727.1,HIV_gp120,53.96,-0.35,39.45,STABLE
HIV_gp120_Var_08_AFU27265.1,HIV_gp120,54.85,-0.46,41.47,UNSTABLE_FLAGGED
HIV_gp120_Var_09_UMQ71371.1,HIV_gp120,53.64,-0.41,41.56,UNSTABLE_FLAGGED
HIV_gp120_Var_10_QIX05989.1,HIV_gp120,55.43,-0.44,43.83,UNSTABLE_FLAGGED
HIV_gp120_Var_11_UBW87652.1,HIV_gp120,55.19,-0.43,41.36,UNSTABLE_FLAGGED
HIV_gp120_Var_12_QIX05460.1,HIV_gp120,53.38,-0.29,37.97,STABLE
HIV_gp120_Var_13_AFU31404.1,HIV_gp120,55.25,-0.49,39.5,STABLE
HIV_gp120_Var_14_UBW85602.1,HIV_gp120,53.7,-0.44,43.3,UNSTABLE_FLAGGED
HIV_gp120_Var_15_QIX06234.1,HIV_gp120,53.45,-0.41,38.89,STABLE
HIV_gp120_Var_16_AFU29819.1,HIV_gp120,53.66,-0.41,40.21,UNSTABLE_FLAGGED
HIV_gp120_Var_17_UMQ72542.1,HIV_gp120,54.79,-0.4,37.94,STABLE
HIV_gp120_Var_18_AMQ63183.1,HIV_gp120,53.92,-0.44,40.79,UNSTABLE_FLAGGED
HIV_gp120_Var_19_AHN16434.1,HIV_gp120,52.98,-0.38,43.82,UNSTABLE_FLAGGED
HIV_gp120_Var_20_UBW83035.1,HIV_gp120,53.66,-0.39,50.98,UNSTABLE_FLAGGED
HIV_gp120_Var_21_UBW87851.1,HIV_gp120,54.49,-0.47,47.57,UNSTABLE_FLAGGED
HIV_gp120_Var_22_AFR42744.1,HIV_gp120,54.33,-0.43,35.85,STABLE
HIV_gp120_Var_23_AMQ63332.1,HIV_gp120,52.76,-0.34,48.44,UNSTABLE_FLAGGED
HIV_gp120_Var_24_QAB37601.1,HIV_gp120,54.05,-0.43,38.84,STABLE
HIV_gp120_Var_25_UMQ71839.1,HIV_gp120,54.51,-0.48,37.17,STABLE
HIV_gp120_Var_26_ADU04884.1,HIV_gp120,53.01,-0.33,38.77,STABLE
HIV_gp120_Var_27_UBW82422.1,HIV_gp120,55.74,-0.5,36.49,STABLE
HIV_gp120_Var_28_ATW67223.1,HIV_gp120,53.96,-0.41,40.33,UNSTABLE_FLAGGED
HIV_gp120_Var_29_UBW85812.1,HIV_gp120,53.53,-0.5,39.83,STABLE
HIV_gp120_Var_30_QAB37192.1,HIV_gp120,52.64,-0.39,42.52,UNSTABLE_FLAGGED
HIV_gp41_Var_01_QAB37996.1,HIV_gp41,40.2,0.01,37.34,STABLE
HIV_gp41_Var_02_QGV15582.1,HIV_gp41,39.38,-0.02,36.73,STABLE
HIV_gp41_Var_03_QRC49169.1,HIV_gp41,39.71,0.03,37.25,STABLE
HIV_gp41_Var_04_AFV34432.1,HIV_gp41,40.26,-0.02,39.57,STABLE
HIV_gp41_Var_05_XKC16435.1,HIV_gp41,40.46,-0.06,36.94,STABLE
HIV_gp41_Var_06_QIX06234.1,HIV_gp41,40.35,-0.09,35.78,STABLE
HIV_gp41_Var_07_QIC93331.1,HIV_gp41,39.37,-0.02,43.39,UNSTABLE_FLAGGED
HIV_gp41_Var_08_UBW86827.1,HIV_gp41,39.68,-0.0,43.66,UNSTABLE_FLAGGED
HIV_gp41_Var_09_UBW83425.1,HIV_gp41,40.33,0.04,40.11,UNSTABLE_FLAGGED
HIV_gp41_Var_10_AFU27265.1,HIV_gp41,40.42,-0.01,43.75,UNSTABLE_FLAGGED
HIV_gp41_Var_11_UBW82422.1,HIV_gp41,40.34,0.03,43.15,UNSTABLE_FLAGGED
HIV_gp41_Var_12_XPO03727.1,HIV_gp41,40.08,-0.02,41.8,UNSTABLE_FLAGGED
HIV_gp41_Var_13_UMQ72343.1,HIV_gp41,40.16,0.02,36.69,STABLE
HIV_gp41_Var_14_UBW82834.1,HIV_gp41,40.44,-0.01,42.97,UNSTABLE_FLAGGED
HIV_gp41_Var_15_AFU31404.1,HIV_gp41,40.32,-0.07,39.97,STABLE
HIV_gp41_Var_16_UBW87031.1,HIV_gp41,40.31,0.0,39.78,STABLE
HIV_gp41_Var_17_UMQ70433.1,HIV_gp41,40.78,-0.12,39.6,STABLE
HIV_gp41_Var_18_WMD30114.1,HIV_gp41,40.55,-0.1,35.14,STABLE
HIV_gp41_Var_19_UMQ71839.1,HIV_gp41,40.26,-0.04,42.28,UNSTABLE_FLAGGED
HIV_gp41_Var_20_UBW88050.1,HIV_gp41,39.72,0.02,42.35,UNSTABLE_FLAGGED
HIV_gp41_Var_21_AVP73563.1,HIV_gp41,40.3,0.01,41.7,UNSTABLE_FLAGGED
HIV_gp41_Var_22_AFU32842.1,HIV_gp41,40.52,0.01,41.96,UNSTABLE_FLAGGED
HIV_gp41_Var_23_QIX05989.1,HIV_gp41,39.73,-0.06,38.33,STABLE
HIV_gp41_Var_24_AYM47111.1,HIV_gp41,39.71,-0.01,35.09,STABLE
HIV_gp41_Var_25_AMQ63183.1,HIV_gp41,40.17,0.04,35.22,STABLE
HIV_gp41_Var_26_UBW85202.1,HIV_gp41,40.34,-0.04,37.23,STABLE
HIV_gp41_Var_27_UBW87448.1,HIV_gp41,40.44,-0.02,39.23,STABLE
HIV_gp41_Var_28_WDY92899.1,HIV_gp41,40.4,-0.01,41.86,UNSTABLE_FLAGGED
HIV_gp41_Var_29_AIS43912.1,HIV_gp41,40.52,-0.05,40.38,UNSTABLE_FLAGGED
HIV_gp41_Var_30_QGV14251.1,HIV_gp41,39.98,-0.08,39.89,STABLE
HIV_p17_Var_01_QID00154.1,HIV_p17,14.65,-0.6,42.28,UNSTABLE_FLAGGED
HIV_p17_Var_02_ACH99177.1,HIV_p17,14.35,-0.62,46.6,UNSTABLE_FLAGGED
HIV_p17_Var_03_QGV15380.1,HIV_p17,14.78,-0.67,43.71,UNSTABLE_FLAGGED
HIV_p17_Var_04_QJE62256.1,HIV_p17,14.71,-0.63,37.27,STABLE
