Source,Accession,Length,N_Records_With_This_Sequence,Gene_Qualifier,Gene_Check,Best_Match,Best_Identity_Pct,Intended_Ref,Intended_Identity_Pct,Panel_Scores,Accepted,Reason,Description
Mpox_A35R,YGB80085.1,181,8023,,ABSENT,A0A7H0DND2,100.0,A0A7H0DND2,100.0,A0A7H0DND2:100.0%,True,ACCEPTED,YGB80085.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YFT67491.1,181,596,,ABSENT,A0A7H0DND2,98.9,A0A7H0DND2,98.9,A0A7H0DND2:98.9%,True,ACCEPTED,YFT67491.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YFI67686.1,181,3,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,YFI67686.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YDZ51190.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YDZ51190.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YDD27029.1,151,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(151 not in 170-195),"YDD27029.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,YDB04004.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YDB04004.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YDB03826.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YDB03826.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YDB03647.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YDB03647.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YDB03291.1,181,7,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,YDB03291.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YCL55906.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YCL55906.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YCG63072.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YCG63072.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YCG62894.1,181,5,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,YCG62894.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YCB47361.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YCB47361.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YBX72280.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YBX72280.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YBX69776.1,178,1,,ABSENT,A0A7H0DND2,100.0,A0A7H0DND2,100.0,A0A7H0DND2:100.0%,True,ACCEPTED,"YBX69776.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,YBX68705.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YBX68705.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YAV94551.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YAV94551.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XHH52254.2,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XHH52254.2 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XHH51897.2,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XHH51897.2 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,YAV94446.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YAV94446.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XCW00080.2,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XCW00080.2 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XHY97218.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XHY97218.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XHH50466.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XHH50466.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEO29617.1,181,4,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,XEO29617.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XDC02883.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XDC02883.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XCI56474.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XCI56474.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XBU14309.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XBU14309.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XYA10284.1,175,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"XYA10284.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XYA25057.1,181,1,,ABSENT,A0A7H0DND2,98.34,A0A7H0DND2,98.34,A0A7H0DND2:98.3%,True,ACCEPTED,XYA25057.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XWU06591.1,120,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"XWU06591.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XUD97195.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XUD97195.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XTP39562.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XTP39562.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XPA18444.1,181,27,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,XPA18444.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XOL55170.1,181,1,,ABSENT,A0A7H0DND2,98.34,A0A7H0DND2,98.34,A0A7H0DND2:98.3%,True,ACCEPTED,XOL55170.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XNX19922.1,181,3,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,XNX19922.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WLD03160.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WLD03160.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XCI57720.1,181,2,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,XCI57720.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEQ85405.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEQ85405.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XIF87304.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XIF87304.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XIF04465.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XIF04465.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX61452.1,181,1,,ABSENT,A0A7H0DND2,98.34,A0A7H0DND2,98.34,A0A7H0DND2:98.3%,True,ACCEPTED,XEX61452.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX61287.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX61287.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX58961.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX58961.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX58791.1,170,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"XEX58791.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XEX58114.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX58114.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX57773.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX57773.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX56583.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX56583.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX54392.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX54392.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX42643.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX42643.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX41650.1,169,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"XEX41650.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XEX41482.1,131,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"XEX41482.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XEX38983.1,172,1,,ABSENT,A0A7H0DND2,98.84,A0A7H0DND2,98.84,A0A7H0DND2:98.8%,True,ACCEPTED,"XEX38983.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XEX37476.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX37476.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX37310.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX37310.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX34609.1,170,2,,ABSENT,A0A7H0DND2,98.82,A0A7H0DND2,98.82,A0A7H0DND2:98.8%,True,ACCEPTED,"XEX34609.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XEX31249.1,181,4,,ABSENT,A0A7H0DND2,98.34,A0A7H0DND2,98.34,A0A7H0DND2:98.3%,True,ACCEPTED,XEX31249.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX24427.1,181,1,,ABSENT,A0A7H0DND2,98.34,A0A7H0DND2,98.34,A0A7H0DND2:98.3%,True,ACCEPTED,XEX24427.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEX15034.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEX15034.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XEW95008.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XEW95008.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XDU07365.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XDU07365.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XHB11777.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XHB11777.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XHB11635.1,52,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(52 not in 170-195),"XHB11635.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XGO94279.1,113,6,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(113 not in 170-195),"XGO94279.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XGO93594.1,112,5,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(112 not in 170-195),"XGO93594.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XGO86425.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XGO86425.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,XGO86081.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),XGO86081.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WZB47381.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WZB47381.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WZB46876.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WZB46876.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WZB46541.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WZB46541.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WZB46032.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WZB46032.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WZB44667.1,146,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"WZB44667.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WZB43812.1,173,1,,ABSENT,A0A7H0DND2,98.84,A0A7H0DND2,98.84,A0A7H0DND2:98.8%,True,ACCEPTED,"WZB43812.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,XDC01816.1,36,2,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(36 not in 170-195),"XDC01816.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WQY95514.1,173,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"WQY95514.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WQY95378.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WQY95378.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WXU47286.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WXU47286.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WXH63990.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WXH63990.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WXH63458.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"WXH63458.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WXH60275.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WXH60275.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WWQ34862.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WWQ34862.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WVX55144.1,74,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"WVX55144.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVX53733.1,171,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"WVX53733.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVX53391.1,3,15,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(3 not in 170-195),"WVX53391.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVP99649.1,110,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(110 not in 170-195),"WVP99649.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVP99473.1,19,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(19 not in 170-195),"WVP99473.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM35566.1,45,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(45 not in 170-195),"WVM35566.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM35278.1,24,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(24 not in 170-195),"WVM35278.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM35178.1,49,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(49 not in 170-195),"WVM35178.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM35075.1,49,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(49 not in 170-195),"WVM35075.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM34948.1,50,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(50 not in 170-195),"WVM34948.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM34881.1,101,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"WVM34881.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM34695.1,38,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(38 not in 170-195),"WVM34695.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM34508.1,49,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(49 not in 170-195),"WVM34508.1 EEV glycoprotein (1), partial [Monkeypox virus]"
